,chat25_Sain,chat21_Sain,chat24_Sain,chat22_Sain,chat23_Sain,chat11_Chronique,chat12_Chronique,chat10_Chronique,chat15_Chronique,chat17_Chronique,chat14_Chronique,chat18_Chronique,chat19_Chronique,chat5_Chronique,chat8_Chronique,chat32_Legere,chat30_Legere,chat29_Legere,chat31_Legere,chat28_Legere
ENSFCAG00000032293,6.35502908566819,5.44081957736248,9.11573574552103,5.33744998115403,8.00436995151802,-1.55336070790165,-0.700242910833282,-1.77499175343823,-0.441240597611148,5.42932334239164,-1.00842870693848,5.10784044851288,6.80839215588267,-0.466551790162751,5.35586093508184,-1.41744158638527,-2.67860854324837,-0.511029119723731,-1.47516025158191,-1.77439359559508
ENSFCAG00000032074,7.42534157338529,7.14292626815938,9.16806066926206,2.40072627968079,2.28793961488827,2.23876524680629,4.19348077801019,10.3049837873312,7.72750397224022,-1.09799691742205,3.74889042481008,4.34023142627767,7.30802115748993,8.03536431752543,-0.521016559026026,-0.888545124346953,-2.67860854324837,2.86608527493131,-1.47516025158191,8.58274767837056
ENSFCAG00000045642,8.634849165766,8.06654153421315,8.16377096506705,9.39057694935607,9.36279376331713,0.824289519534673,0.248689526895437,0.707212873122345,1.25742576919693,0.0468000765627733,6.97718000641535,-0.0536973920771519,2.36101085257658,1.46797833334682,1.94422614155573,9.28985442289652,9.17932614657142,7.82992666274844,6.23766174978835,10.7764474135933
ENSFCAG00000000298,8.05837223154584,8.26166965444288,8.73115743406176,8.04901385276339,1.65751861115482,-1.43243109342358,-2.17289229365084,0.367081275717995,7.11444633579434,6.44118659742106,-1.38263399302907,7.39679767157603,-0.017773577277969,0.0896791360697287,3.32657412815361,-1.21881118010273,-1.38474881327448,2.42465734542859,2.26977287399095,-0.88410230635794
ENSFCAG00000000294,1.02461467076327,5.96064584266328,3.468055245756,11.435371359091,4.67974732549794,1.34778903561535,0.873709713654001,1.21316628350485,0.461351901342295,1.63579862941989,9.23107355004263,0.744056509776388,2.56508764537762,2.12269442469765,2.28070390634277,6.47683929554624,10.760152003683,9.24126466054327,7.56735750748036,12.0356167438185
ENSFCAG00000024481,5.03951154495746,4.60801678407487,8.15000487489207,4.03019791544041,7.16354134645936,-2.17427510636876,-3.12794063009759,0.83876090327201,-0.934958423613849,5.68605381734996,-2.67687991767183,3.99503389660659,6.39477159988419,2.44178342540261,5.14415394376082,-3.35003357092415,-1.99609842233901,-3.3552159076495,-2.31292787823049,-0.228184019441649
ENSFCAG00000028563,7.24317130262984,4.98665258179966,5.54824818719501,1.09623594059358,-2.21293896344942,-3.28784071043599,-1.95703741929677,-3.75666180251424,6.47306100658644,5.09507228576091,-2.67687991767183,5.34466131475038,0.681696700502173,1.27851916959226,2.00959654290052,-3.35003357092415,-4.54591674336763,-2.71190457555777,-1.83406868499725,-3.24897713830507
ENSFCAG00000022395,6.43732550509313,3.89102493447115,6.19218898197079,7.52317443929307,7.20976645296029,-2.17427510636876,-3.12794063009759,-2.57774230827075,0.762983667138002,-4.54591674336763,3.01903237733476,-3.56221541232637,0.980966023178436,0.430643385379972,0.30103681692185,6.15082706760088,4.59314544406183,4.77545387045675,1.62274848415834,6.86496322612318
ENSFCAG00000018596,5.39316230940141,5.8403332859657,7.34174240907621,4.2535183001666,-4.54591674336763,-3.28784071043599,-3.66930985820583,-4.54591674336763,3.91557576917761,1.47380844738309,-4.54591674336763,2.1081221028288,-0.601476778632908,-0.161793886367163,0.667933389779001,-2.70527201556513,-3.63300837800763,-1.22710069495545,-3.8527355071373,-4.54591674336763
ENSFCAG00000036036,3.26151191085524,2.40198244641962,5.2592569062708,3.93459758027526,8.6146084399619,-3.78388025510393,-2.73520389351749,-4.54591674336763,-1.46205812395007,3.96370439778027,0.603323154639122,4.33126170005081,5.81895239815631,-0.357654331161185,3.24748808748674,-1.21881118010273,-4.0184273090394,-4.54591674336763,-1.27750814108688,-3.24897713830507
